address,price,beds,baths,area,statusText,latitude,longitude,url
"12434 S Ki Cir, Phoenix, AZ 85044","$550,000",4,2,1748,House for sale,33.332676,-111.97666,https://www.zillow.com/homedetails/12434-S-Ki-Cir-Phoenix-AZ-85044/8151359_zpid/
"1535 W Berridge Ln, Phoenix, AZ 85015","$599,500",4,2,1649,House for sale,33.525585,-112.09271,https://www.zillow.com/homedetails/1535-W-Berridge-Ln-Phoenix-AZ-85015/7774453_zpid/
"21813 N 40th Way, Phoenix, AZ 85050","$649,000",6,3,2177,House for sale,33.684326,-111.98663,https://www.zillow.com/homedetails/21813-N-40th-Way-Phoenix-AZ-85050/50182068_zpid/
"411 W Colter St APT A, Phoenix, AZ 85013","$999,999",2,1,3072,Apartment for sale,33.512695,-112.07963,https://www.zillow.com/homedetails/411-W-Colter-St-APT-A-Phoenix-AZ-85013/2084066890_zpid/
"2339 W Sunland Ave, Phoenix, AZ 85041","$485,000",4,2,2578,House for sale,33.395596,-112.1094,https://www.zillow.com/homedetails/2339-W-Sunland-Ave-Phoenix-AZ-85041/338668458_zpid/
"6337 W Valencia Dr, Laveen, AZ 85339","$369,900",4,2.5,2328,House for sale,33.37608,-112.19638,https://www.zillow.com/homedetails/6337-W-Valencia-Dr-Laveen-AZ-85339/81951373_zpid/
"25710 N 20th Ln, Phoenix, AZ 85085","$720,000",3,2.5,2470,House for sale,33.71895,-112.105995,https://www.zillow.com/homedetails/25710-N-20th-Ln-Phoenix-AZ-85085/284856271_zpid/
"2650 W Union Hills Dr LOT 236, Phoenix, AZ 85027","$28,500",2,2,1400,Home for sale,33.65654,-112.11933,https://www.zillow.com/homedetails/2650-W-Union-Hills-Dr-LOT-236-Phoenix-AZ-85027/345335670_zpid/
"4010 W Fremont Rd, Phoenix, AZ 85041","$364,900",4,2.5,2093,House for sale,33.38155,-112.14523,https://www.zillow.com/homedetails/4010-W-Fremont-Rd-Phoenix-AZ-85041/55258578_zpid/
"2815 N 52nd St UNIT 3, Phoenix, AZ 85008","$255,000",2,1.5,936,Townhouse for sale,33.47919,-111.96915,https://www.zillow.com/homedetails/2815-N-52nd-St-UNIT-3-Phoenix-AZ-85008/7562705_zpid/
"919 E Villa Maria Dr, Phoenix, AZ 85022","$360,000",3,2,1088,House for sale,33.651752,-112.06038,https://www.zillow.com/homedetails/919-E-Villa-Maria-Dr-Phoenix-AZ-85022/8002459_zpid/
"2002 N 25th St, Phoenix, AZ 85008",$150K,2,1,1090,Auction,33.469486,-112.0282,https://www.zillow.comhttps://www.zillow.com/homedetails/2002-N-25th-St-Phoenix-AZ-85008/7543793_zpid/
"5051 E Lafayette Blvd, Phoenix, AZ 85018","$4,895,000",7,8,6916,House for sale,33.4965,-111.97185,https://www.zillow.comhttps://www.zillow.com/homedetails/5051-E-Lafayette-Blvd-Phoenix-AZ-85018/7838863_zpid/
"6836 N 36th St, Phoenix, AZ 85018","$8,950,000",3,3,3095,House for sale,33.538727,-112.00349,https://www.zillow.comhttps://www.zillow.com/homedetails/6836-N-36th-St-Phoenix-AZ-85018/7809607_zpid/
"3251 W Mercer Ln, Phoenix, AZ 85029","$395,000",3,2,1590,House for sale,33.585007,-112.129745,https://www.zillow.comhttps://www.zillow.com/homedetails/3251-W-Mercer-Ln-Phoenix-AZ-85029/7740409_zpid/
"7209 S 48th Ln, Laveen, AZ 85339","$325,000",3,3,1435,House for sale,33.381046,-112.162506,https://www.zillow.comhttps://www.zillow.com/homedetails/7209-S-48th-Ln-Laveen-AZ-85339/95082333_zpid/
"3021 E Windrose Dr, Phoenix, AZ 85032","$459,000",3,1.75,1224,House for sale,33.602245,-112.016525,https://www.zillow.comhttps://www.zillow.com/homedetails/3021-E-Windrose-Dr-Phoenix-AZ-85032/7814984_zpid/
"5740 N 42nd Ln, Phoenix, AZ 85019","$300,000",3,2,1700,For sale by owner,33.52155,-112.15072,https://www.zillow.comhttps://www.zillow.com/homedetails/5740-N-42nd-Ln-Phoenix-AZ-85019/7718980_zpid/
"3523 W Buckhorn Trl, Phoenix, AZ 85083","$749,000",4,3,2692,House for sale,33.731964,-112.1359,https://www.zillow.comhttps://www.zillow.com/homedetails/3523-W-Buckhorn-Trl-Phoenix-AZ-85083/60981319_zpid/
"1621 W Mulberry Dr, Phoenix, AZ 85015","$465,000",3,2,1539,House for sale,33.486603,-112.09458,https://www.zillow.comhttps://www.zillow.com/homedetails/1621-W-Mulberry-Dr-Phoenix-AZ-85015/7518027_zpid/
"1814 N 89th Ave, Phoenix, AZ 85037","$364,900",3,2,1487,House for sale,33.467426,-112.25083,https://www.zillow.comhttps://www.zillow.com/homedetails/1814-N-89th-Ave-Phoenix-AZ-85037/7474385_zpid/
"4320 N 35th St, Phoenix, AZ 85018","$975,000",3,2,1730,House for sale,33.499584,-112.00706,https://www.zillow.comhttps://www.zillow.com/homedetails/4320-N-35th-St-Phoenix-AZ-85018/7834178_zpid/
"18644 N 5th Ave, Phoenix, AZ 85027","$335,000",3,2.5,1186,House for sale,33.656242,-112.080536,https://www.zillow.comhttps://www.zillow.com/homedetails/18644-N-5th-Ave-Phoenix-AZ-85027/7972576_zpid/
"3738 W Danbury Dr, Glendale, AZ 85308","$355,000",3,2,1784,House for sale,33.641563,-112.14046,https://www.zillow.comhttps://www.zillow.com/homedetails/3738-W-Danbury-Dr-Glendale-AZ-85308/7947343_zpid/
"10939 W Meadowbrook Ave, Phoenix, AZ 85037","$395,000",6,3,2221,House for sale,33.50204,-112.29562,https://www.zillow.comhttps://www.zillow.com/homedetails/10939-W-Meadowbrook-Ave-Phoenix-AZ-85037/81989293_zpid/
"22635 N 54th Pl, Phoenix, AZ 85054","$1,850,000",4,3.5,3873,House for sale,33.692966,-111.957184,https://www.zillow.comhttps://www.zillow.com/homedetails/22635-N-54th-Pl-Phoenix-AZ-85054/7989508_zpid/
"3823 W Berridge Ln, Phoenix, AZ 85019","$339,900",4,2,1863,House for sale,33.52527,-112.14173,https://www.zillow.comhttps://www.zillow.com/homedetails/3823-W-Berridge-Ln-Phoenix-AZ-85019/7759001_zpid/
"12813 S 38th St, Phoenix, AZ 85044","$620,000",4,2.5,2264,House for sale,33.3302,-112.000465,https://www.zillow.comhttps://www.zillow.com/homedetails/12813-S-38th-St-Phoenix-AZ-85044/8140617_zpid/
"3639 W Beryl Ave, Phoenix, AZ 85051","$375,000",4,2,2172,House for sale,33.57969,-112.137566,https://www.zillow.comhttps://www.zillow.com/homedetails/3639-W-Beryl-Ave-Phoenix-AZ-85051/7745257_zpid/
"4750 N Central Ave #N7, Phoenix, AZ 85012","$147,000",1,1,702,Condo for sale,33.50723,-112.07476,https://www.zillow.comhttps://www.zillow.com/homedetails/4750-N-Central-Ave-N7-Phoenix-AZ-85012/2080443547_zpid/
"19615 N 18th Dr, Phoenix, AZ 85027","$530,000",5,3,2224,House for sale,33.664433,-112.09852,https://www.zillow.comhttps://www.zillow.com/homedetails/19615-N-18th-Dr-Phoenix-AZ-85027/7970971_zpid/
"2745 E Wood St, Phoenix, AZ 85040","$315,000",3,2,1222,House for sale,33.408527,-112.021675,https://www.zillow.comhttps://www.zillow.com/homedetails/2745-E-Wood-St-Phoenix-AZ-85040/7545949_zpid/
"2236 E Sierra St, Phoenix, AZ 85028","$799,000",3,2,2136,House for sale,33.59215,-112.03292,https://www.zillow.comhttps://www.zillow.com/homedetails/2236-E-Sierra-St-Phoenix-AZ-85028/7816349_zpid/
"6321 W Gross Ave, Phoenix, AZ 85043","$464,900",4,2.5,2119,House for sale,33.429153,-112.19656,https://www.zillow.comhttps://www.zillow.com/homedetails/6321-W-Gross-Ave-Phoenix-AZ-85043/53206296_zpid/
"20809 N 1st Ave, Phoenix, AZ 85027","$479,000",3,2.5,1853,House for sale,33.675453,-112.074486,https://www.zillow.comhttps://www.zillow.com/homedetails/20809-N-1st-Ave-Phoenix-AZ-85027/7967631_zpid/
"14001 N 34th Dr, Phoenix, AZ 85053","$500,000",5,3.5,2388,House for sale,33.612926,-112.13153,https://www.zillow.comhttps://www.zillow.com/homedetails/14001-N-34th-Dr-Phoenix-AZ-85053/7943398_zpid/
"2844 W Christy Dr, Phoenix, AZ 85029","$299,999",3,2,1563,Townhouse for sale,33.584602,-112.12251,https://www.zillow.comhttps://www.zillow.com/homedetails/2844-W-Christy-Dr-Phoenix-AZ-85029/7750032_zpid/
"4131 E Cascalote Dr, Cave Creek, AZ 85331","$585,000",3,2,1811,House for sale,33.75972,-111.991585,https://www.zillow.comhttps://www.zillow.com/homedetails/4131-E-Cascalote-Dr-Cave-Creek-AZ-85331/7978506_zpid/
"3611 E Ahwatukee Dr, Phoenix, AZ 85044","$1,125,000",5,3.5,3769,House for sale,33.333694,-112.00543,https://www.zillow.comhttps://www.zillow.com/homedetails/3611-E-Ahwatukee-Dr-Phoenix-AZ-85044/8140420_zpid/
